dataset,pathway,method,stat,p,fdr,n,dir,sig,table,n_sig,overlap_with_atlas70,jaccard_vs_atlas70,min_p,min_fdr,n_pathways,n_atlas_sig,n_recomputed_sig,max_abs_dstat,max_abs_dp,celltype,label,n_markers,n_detected,score_baseline_mean,score_followup_mean,mean_change,t_paired,p_paired,p_wilcoxon,sig_fdr,sample,patient,time,score,orig_t,orig_p,orig_fdr,neut_adj_t,neut_adj_p,neut_adj_fdr,ancova_t,ancova_p,ancova_fdr,allcell_adj_t,allcell_adj_p,allcell_adj_fdr,in_atlas70,sig_orig,sig_neut_adj,sig_allcell_adj,corr_with_neutrophil
GSE37587,KEGG:Fat digestion and absorption,t_BH,1.4397917593393077,0.15934612247545318,0.5979179496537909,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Fatty acid biosynthesis,t_BH,-0.6034737614978533,0.5503194031373675,0.8514630353177616,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Fatty acid degradation,t_BH,1.4807788367550934,0.1481509868526709,0.5851824828219462,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Fatty acid elongation,t_BH,-0.005730054008529811,0.9954626036056378,0.9998296145955509,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Fc epsilon RI signaling pathway,t_BH,0.974899421497258,0.3367028204399548,0.7423619041229592,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Fc gamma R-mediated phagocytosis,t_BH,0.9737037623777369,0.337287447244198,0.7423619041229592,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Ferroptosis,t_BH,-1.1711830886650771,0.24991267951951848,0.6752245321974413,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Fluid shear stress and atherosclerosis,t_BH,0.18489707340191877,0.8544414433818617,0.9619657898954667,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Focal adhesion,t_BH,-2.5095723573004607,0.017173555347948635,0.2661690101593612,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Folate biosynthesis,t_BH,-0.6048438465110195,0.5494195243965786,0.8514630353177616,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:FoxO signaling pathway,t_BH,0.7638913986647872,0.45035948427044936,0.8051152947242413,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Fructose and mannose metabolism,t_BH,0.9039194449356264,0.37258981837061445,0.7603677043939941,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:GABAergic synapse,t_BH,-1.2242791849865693,0.2295155960949802,0.6626015469872473,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Galactose metabolism,t_BH,1.8058595232119572,0.0800694201590784,0.48201178478824974,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Gap junction,t_BH,-1.7098375645566046,0.0966844696421673,0.5061291572637272,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Gastric acid secretion,t_BH,-1.4827841847358945,0.14761978585305857,0.5841816870521289,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Gastric cancer,t_BH,-0.1619182628548633,0.8723575655695139,0.9684163525835505,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Glioma,t_BH,1.1972762968672617,0.23972882907460644,0.668692767849244,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Glucagon signaling pathway,t_BH,2.417237579399324,0.021326345894248394,0.29118309502363393,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Glutamatergic synapse,t_BH,-1.0044687377196642,0.32246163616121093,0.7348583818298116,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Glutathione metabolism,t_BH,-0.9761660675555875,0.33608422803044413,0.7419034347371873,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Glycerolipid metabolism,t_BH,0.31267356774733357,0.7564961195513356,0.9336216408185203,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Glycerophospholipid metabolism,t_BH,1.7296483738826496,0.09303795263523879,0.5010188847930688,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,"KEGG:Glycine, serine and threonine metabolism",t_BH,-0.011923517867051365,0.9905584290896694,0.9997666243562822,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
