pathway,atlas_dir,atlas_stat,atlas_p,atlas_fdr,GSE16561_stroke_vs_control_t,GSE16561_stroke_vs_control_dir,GSE16561_stroke_vs_control_concordant,GSE22255_stroke_vs_control_t,GSE22255_stroke_vs_control_dir,GSE22255_stroke_vs_control_concordant,GSE58294_stroke_vs_control_3h_t,GSE58294_stroke_vs_control_3h_dir,GSE58294_stroke_vs_control_3h_concordant,GSE58294_stroke_vs_control_5h_t,GSE58294_stroke_vs_control_5h_dir,GSE58294_stroke_vs_control_5h_concordant,GSE58294_stroke_vs_control_24h_t,GSE58294_stroke_vs_control_24h_dir,GSE58294_stroke_vs_control_24h_concordant,GSE58294_24h_vs_3h_t,GSE58294_24h_vs_3h_dir,GSE58294_24h_vs_3h_concordant
REAC:IRE1alpha activates chaperones,up,4.077479097134138,0.0002698861338921,0.0346776523635913,-0.10656289495314539,down,False,-2.8457917953583824,down,False,-0.605022754396685,down,False,-1.169341735214501,down,False,-1.0588215650886175,down,False,-0.28932695556126725,down,False
REAC:Cellular response to heat stress,up,4.056527668435234,0.0002864946997524,0.0354354620791799,-0.9782267797155328,down,False,-0.1516526606198413,down,False,-3.1952769070134845,down,False,-2.2859248712860505,down,False,2.7049226306812897,up,True,3.5004609156203967,up,True
GOBP:regulation of establishment of protein localization to telomere (GO:0070203),up,4.032028201862492,0.0003071874905177,0.0358840498182581,-1.7760916573750642,down,False,-1.949022364607819,down,False,0.7537167617633275,up,True,-3.3943105384976118,down,False,0.2490697133722823,up,True,-0.2441227472013736,down,False
REAC:XBP1(S) activates chaperone genes,up,4.032877807887418,0.0003064460118099,0.0358840498182581,0.07335467066687154,up,True,-2.838223615581909,down,False,-0.594166021953202,down,False,-1.1393838488334078,down,False,-1.0231098603122306,down,False,-0.2625578471660831,down,False
REAC:RHOB GTPase cycle,down,-4.04372046983918,0.0002971356890414,0.0358840498182581,5.610451887811334,up,False,-1.127291592708001,down,True,-0.7819427008843514,down,True,0.9777371352588168,up,False,1.7012986771662693,up,False,1.1828666269485044,up,False
REAC:Coenzyme A biosynthesis,down,-4.009765912048846,0.0003272543465902,0.0375330985143878,0.18589456203973828,up,False,-0.19861941903840144,down,True,-0.44732259914433586,down,True,0.1874956789539475,up,False,-0.23549498349822914,down,True,0.1009105376556288,up,False
GOBP:positive regulation of nucleocytoplasmic transport (GO:0046824),up,4.00056366716827,0.0003359186237014,0.037838833541225,-1.2236023901126205,down,False,0.4898436432278623,up,True,-2.510965917683199,down,False,-1.969662496498132,down,False,1.577850280756937,up,True,2.7149069862004214,up,True
REAC:Initiation of Nuclear Envelope (NE) Reformation,up,3.966893155849307,0.0003695741235585,0.0408995363404793,0.09594619878928948,up,True,-2.625748242042304,down,False,0.1539738675306289,up,True,0.5228711128196454,up,True,-0.35353525131071406,down,False,-0.3351727252895861,down,False
REAC:The role of Nef in HIV-1 replication and disease pathogenesis,up,3.958248368721861,0.0003787334008572,0.0411905222863393,-0.5458014269583735,down,False,0.14593481800504537,up,True,-0.7749350828965149,down,False,1.4275871268668388,up,True,-0.03388478196279997,down,False,0.5097598293143036,up,True
GOBP:positive regulation of telomerase activity (GO:0051973),up,3.9219882058736486,0.0004196264445958,0.0448644680086591,-0.5793470945651659,down,False,0.021667442387982187,up,True,-0.436064667837364,down,False,-0.8657139276628179,down,False,-0.7931588589212114,down,False,-0.3419246160251077,down,False
